question_id,question,difficulty,question_type,score_a,score_b,recall_a,recall_b,time_a,time_b,sections_a,sections_b
q01,ความผิดฐานลักทรัพย์มีโทษอย่างไร?,easy,,5,4,0.0,0.0,13.12295937538147,32.66301679611206,['1'],"['90', '18', '19', '91', '21']"
q02,โทษทางอาญามีกี่ประเภท อะไรบ้าง?,easy,,4,4,0.0,0.0,23.278274059295654,29.019038915634155,"['103', '106', '309', '310', '96']","['276', '277', '103', '106', '96']"
q03,ความผิดฐานฆ่าผู้อื่นมีโทษอย่างไร?,easy,,4,4,0.0,0.0,13.56725811958313,18.097163677215576,['90'],"['90', '91']"
q04,คำว่า 'โดยทุจริต' ในประมวลกฎหมายอาญาหมายความว่าอย่างไร?,easy,,4,4,1.0,1.0,17.497073888778687,18.355850219726562,"['1', '2', '3']","['1', '2', '3', '5', '4']"
q05,ความผิดฐานหมิ่นประมาทมีโทษอย่างไร?,easy,,2,1,0.0,0.0,18.8472580909729,15.79600214958191,"['90', '18', '19']","['90', '91', '31', '19', '20']"
q06,ความผิดฐานฉ้อโกงมีโทษจำคุกไม่เกินกี่ปี?,easy,,3,4,0.0,0.0,11.300941705703735,13.747428894042969,"['90', '20']","['90', '20', '19', '91', '21']"
q07,อายุความสำหรับความผิดที่มีโทษจำคุกไม่เกินหนึ่งปีเป็นเท่าไร?,easy,,2,5,0.0,0.0,21.616136074066162,15.629196166992188,"['18', '31']","['18', '31', '19', '21', '20']"
q08,ถ้าลักทรัพย์ในเวลากลางคืน โทษจะเพิ่มขึ้นอย่างไร?,medium,,5,1,0.0,0.0,14.807210206985474,16.90816307067871,['107'],"['31', '32', '19', '20', '8']"
q09,การกระทำโดยป้องกันตัวมีผลทางกฎหมายอย่างไร?,medium,,4,4,0.0,0.0,34.288630962371826,32.27379393577576,"['107', '108', '113', '114', '1']","['102', '107', '108', '113', '115']"
q10,ผู้สนับสนุนการกระทำความผิดมีโทษอย่างไร?,medium,,2,1,0.0,0.0,13.548447847366333,13.662898302078247,"['83', '85']","['83', '85', '85/1', '88', '84']"
q11,เด็กอายุเท่าไรจึงจะไม่ต้องรับโทษทางอาญา?,medium,,4,3,0.0,0.0,12.225743055343628,12.257811307907104,['90'],"['90', '91']"
q12,ความผิดฐานชิงทรัพย์คืออะไร และมีโทษอย่างไร?,medium,,4,4,0.0,0.0,18.75443410873413,12.838783979415894,['1'],['1']
q13,การวางเพลิงเผาทรัพย์ของผู้อื่นมีโทษอย่างไร?,medium,,5,4,0.0,0.0,26.00143313407898,18.33281421661377,"['18', '19', '59', '60']","['1', '18', '19', '21', '20']"
q14,โทษฐานลักทรัพย์ธรรมดา กับลักทรัพย์ในเวลากลางคืนต่างกันอย่างไร?,hard,,2,4,0.0,0.0,26.352322101593018,29.613988399505615,"['102', '18', '31', '39']","['102', '18', '31', '59', '60']"
q15,ความแตกต่างระหว่างลักทรัพย์ ชิงทรัพย์ และปล้นทรัพย์คืออะไร?,hard,,2,1,0.0,0.0,25.455960273742676,16.87911558151245,"['1', '18', '31', '39']",['1']
q16,ถ้ามีคนพยายามฆ่าผู้อื่นแต่ไม่สำเร็จ จะได้รับโทษอย่างไร?,hard,,1,5,0.0,0.0,14.031554698944092,14.154460906982422,['1'],['1']
q17,ผู้ที่กระทำความผิดฐานลักทรัพย์แล้วกระทำความผิดฐานลักทรัพย์อีก จะถูกเพิ่มโทษหรือไม่?,hard,,3,5,0.0,0.0,15.55716586112976,20.109626054763794,"['102', '103', '51', '52', '90']","['102', '103', '135/1', '135/3', '51']"
q18,ถ้าเจ้าพนักงานรับสินบน จะมีความผิดตามมาตราใด และมีโทษอย่างไร?,medium,,1,2,0.0,0.0,31.81333088874817,19.2375910282135,"['59', '18', '31', '60']","['102', '103', '1', '59', '61']"
q19,ความผิดฐานบุกรุกมีโทษอย่างไร?,easy,,5,4,0.0,0.0,14.831302165985107,19.718585729599,['1'],"['90', '91']"
q20,การรอการลงโทษมีเงื่อนไขอย่างไร?,medium,,4,4,0.0,0.0,26.50600290298462,21.18804097175598,"['102', '92', '93', '90']","['92', '93', '90', '238', '275']"
